,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,User Name,User ID,Tweet,Image URL,Location,Cleaned_Tweet,scores,label
13064,14414,521,521,2022-10-26 02:58:54+00:00,centralgirl2010,578625464,@KWCH12 @KSNNews @KAKEnews @KSNTNews @ksnewsservice @kprnews @CJOnline @hayspost @LJWorld Why isn’t this big news? Kansans owe nearly as much as the state budget in #studentloandebt Contact Alan @StudentLoanJus1 for interviews #CancelALLStudentDebtNOW https://t.co/xYSj08zzZv,https://pbs.twimg.com/profile_images/1515448546715176960/3QV0-eoO_normal.jpg,United States,big news kansans owe nearly much state budget contact alan interviews,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
13065,14415,522,522,2022-10-26 02:14:01+00:00,centralgirl2010,578625464,@KWCH12 @KSNNews @KAKEnews @KSNTNews @ksnewsservice @kprnews @CJOnline @hayspost @LJWorld Why isn’t this big news? Kansans owe nearly as much as the state budget in #studentloandebt Contact Alan @StudentLoanJus1 for interviews #CancelALLStudentDebtNOW https://t.co/pxCq9oDRkl,https://pbs.twimg.com/profile_images/1515448546715176960/3QV0-eoO_normal.jpg,United States,big news kansans owe nearly much state budget contact alan interviews,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
13069,14419,526,526,2022-10-25 18:10:02+00:00,0InterestLoans,1204807012296597509,"Check out these 7 reasons why #student loan cancellation will actually work:

https://t.co/wjiDrtAxs2
#studentloanssuck #debtfreejourney #studentloandebt",https://pbs.twimg.com/profile_images/1248684834978963462/49PVs4eY_normal.jpg,United States,check reasons loan cancellation actually work,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
13088,14439,546,546,2022-10-23 17:12:14+00:00,kantissimmons,15263372,"Visit the College First before you decide, just from online forums and websites.

#kantissimmons #bestschoolyearever #highschoolgraduates #academicsupport #collegespeaker #collegesearch #academicsuccess #collegetips #collegeapplications #studentloandebt #…https://t.co/6bC1HfZ3dE",https://pbs.twimg.com/profile_images/742409842732584960/T7L49wr5_normal.jpg,United States,visit college first decide online forums websites,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
13091,14443,550,550,2022-10-23 01:29:13+00:00,5731965i,819019776844513280,VOTE THE GOP OUT. EVERY ELECTION! #Arkansas #Iowa #Kansas #Missouri #Nebraska #SouthCarolina #Students #studentloandebt #studentloan https://t.co/RtLsexiGPX https://t.co/u634hyLhzk,https://pbs.twimg.com/profile_images/879123411955589120/cCah7nC1_normal.jpg,United States,vote gop every election,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
13093,14445,552,552,2022-10-22 23:53:55+00:00,ortizfornewyork,2966913963,In regards to #studentloandebt : Lower the 120 payments to 60 and cap them at 5 percent of income but the issue is not just now- the issue is the future. We cannot let this mess happen again.  That’s what this administration needs to focus on.,https://pbs.twimg.com/profile_images/1282537191894323200/80wsOV5d_normal.jpg,United States,regards lower payments cap percent income issue issue future cannot let mess happen administration needs focus,"{'neg': 0.12, 'neu': 0.765, 'pos': 0.115, 'compound': -0.0232}",Neutral
13095,14447,554,554,2022-10-22 21:32:48+00:00,sn00pdad,1177288337360609280,Not So Fast #Biden: #USCourts slams the brakes on #JoeBiden's #studentloanforgiveness. #StudentDebtRelief #studentloandebt https://t.co/RZltchspwi,https://pbs.twimg.com/profile_images/1573817579411488768/zmkYwulD_normal.jpg,United States,fast slams brakes,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
13097,14449,556,556,2022-10-22 21:12:23+00:00,whatintheope,1349616903074050048,I want to cry again but for a much less enjoyable reason #studentloandebt #studentloanforgiveness https://t.co/AAJsKTJZWt,https://pbs.twimg.com/profile_images/1389262032084611073/joSv1BjP_normal.jpg,United States,want cry much less enjoyable reason,"{'neg': 0.31, 'neu': 0.3, 'pos': 0.39, 'compound': -0.0498}",Neutral
13098,14450,557,557,2022-10-22 20:04:58+00:00,molentax,247488293,"After $22 Million have already applied, federal appeals court temporarily blocked the Biden’s Student Loan Forgiveness plan until it rules on an injunction request from six GOP-led states.

#taxlaw #studentloandebt #studentloan #tax #taxnews #taxes #bidenlawsuit https://t.co/BCwKyJErAx",https://pbs.twimg.com/profile_images/1349543623692574720/8bpZ0K4h_normal.jpg,United States,million already applied federal appeals court temporarily blocked biden student loan forgiveness plan rules injunction request six gop led states,"{'neg': 0.095, 'neu': 0.811, 'pos': 0.095, 'compound': 0.0}",Neutral
13102,14455,562,562,2022-10-22 17:54:01+00:00,courry,66771033,@QasimRashid We the people are not in the business of guaranteeing your business model in perpetuity! #studentloan #studentloandebt #StudentLoans2022 @QasimRashid,https://pbs.twimg.com/profile_images/1268372781865013249/SEe2o07h_normal.jpg,United States,people business guaranteeing business model perpetuity,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
